title,link,description,salary,city,company,date
Python-разработчик,https://spb.hh.ru/vacancy/104276440?query=python+django+flask&hhtmFrom=vacancy_search_list,"Доработки платежного сервиса и сервиса SmartKit. Управление облачной инфраструктурой платежного сервиса (Yandex.Cloud, k8s). Настройка мониторингов.Хорошее знание Python, опыт промышленной разработки от 2 года. Опыт использования одного фреймворков - Django, Flask, FastAPI. Опыт асинхронной разработки, использования...",Не указана,Не указан,Не указан,Не указана
Python-разработчик,https://spb.hh.ru/vacancy/103482417?query=python+django+flask&hhtmFrom=vacancy_search_list,"Есть возможность работать с kubernetes, consul, vault. Реже используем django и flask. Много асинхронного взаимодействия на rabbitmq, kafka и работы...Есть опыт работы с Python 3, asyncio (async/await), веб-фреймоворками (aiohttp/fastAPI/flask/Django), ORM (peewee, SQLAlchemy, Django ORM). ",Не указана,Не указан,Не указан,Не указана
Python Web-разработчик,https://spb.hh.ru/vacancy/98444719?query=python+django+flask&hhtmFrom=vacancy_search_list,"Участие в проектировании архитектуры. Разработка CRM (back office). Разработка backend (front office). Разработка API. Адаптация верстки для backend.Знание ООП и паттернов проектирования. Уверенное владение одним из фрейморков (Django, Flask, aiohttp, FastAPI). Опыт работы с РСУБД (MySQL/PostgreSQL...",Не указана,Не указан,Не указан,Не указана
Python Developer,https://spb.hh.ru/vacancy/102660978?query=python+django+flask&hhtmFrom=vacancy_search_list,"Бэклоги, доски и таски в Jira. Фреймворки: django, fastapi (с sqlalchemy и alembic). БД: Postgres, Clickhouse, Redis. Разрабатывать и поддерживать......они работают, и понимание нагрузки, которую они держат. :). Просто хоть что-нибудь :)) умение подключить к django шаблон Bootstrap - уже достаточно.",Не указана,Не указан,Не указан,Не указана
Python разработчик (в офис),https://spb.hh.ru/vacancy/102915768?query=python+django+flask&hhtmFrom=vacancy_search_list,"Автоматизация бизнес-процессов на Python, связанных со станциями технического обслуживания автомобилей. Разработка системы электронного документооборота и автоматизации процессов для клиентов...Языки программирования: Python, JS. Flask + SQLAlchemy (основной стек). Django (в процессе портирования на основной стек). Платформа: Docker, nginx, gunicorn...",Не указана,Не указан,Не указан,Не указана
Backend-разработчик / Разработчик Python,https://spb.hh.ru/vacancy/103229050?query=python+django+flask&hhtmFrom=vacancy_search_list,"Участие в выполнении проектов от корпоративных партнеров. Проектирование и разработка бекенд-а. Разработка системного ПО для автоматизации вычислительных экспериментов, а...Знание и опыт работы с одним из фреймворков Django, Flask, FastAPI. Опыт работы с реляционными СУБД (PostgreSQL, MySQL), знание ORM...",Не указана,Не указан,Не указан,Не указана
Разработчик Python,https://spb.hh.ru/vacancy/104131893?query=python+django+flask&hhtmFrom=vacancy_search_list,"Корпоративные сайты (топовые компании страны). Интерактивные стенды, мобильные приложения, AR/VR интерактивы, рекламные концепции для музеев. Геоинформационные сервисы. Высшее техническое образование. Подтверждённый опыт разработки на Python более 5 лет. Экспертное знание Python, опыт коммерческой разработки 5-7 лет. ",Не указана,Не указан,Не указан,Не указана
Middle Python developer,https://spb.hh.ru/vacancy/72687504?query=python+django+flask&hhtmFrom=vacancy_search_list,"Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса.Опыт работы с веб-фреймворками (flask, fastapi, aiohttp), OpenAPI, сериализаторами (pydantic, marshmallow, etc.). Умение покрывать свой код автотестами (pytest) и...",Не указана,Не указан,Не указан,Не указана
Python-разработчик в TEDI (middle) T-Банк,https://spb.hh.ru/vacancy/104244604?query=python+django+flask&hhtmFrom=vacancy_search_list,"Разрабатываем платформу для батчевой обработки данных. Ищем разработчика на Python, который будет создавать сервисы, проектировать компоненты и улучшать код. Описание. У вас есть опыт разработки на языке Python: Asyncio, Concurrency, FastAPI, Flask, Django, Testing. Разбираетесь в дизайне приложений: OOP, FP...",Не указана,Не указан,Не указан,Не указана
Middle Backend разработчик (Python + Golang),https://spb.hh.ru/vacancy/102263018?query=python+django+flask&hhtmFrom=vacancy_search_list,"Разработка новых сервисов компьютерного зрения с применением нейронных сетей. Интеграция продуктов компании с системами партнеров. Поддержка и развитие существующих web...Опыт проектирования REST API. Знание одного из фреймворков: Django, Flask, AIOHTTP, Sanic, FastAPI. Уверенная работа с PostgreSQL. Разработка и деплой...",Не указана,Не указан,Не указан,Не указана
