title,link,salary,company,city,metro,description
Python разработчик,https://spb.hh.ru/vacancy/102742641?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Разработка, поддержка и администрирование ботов-помощников для сотрудников. Ведение проекта по внедрению ботов (сбор и анализ данных, работа в команде...Опыт работы с фреймворками: например, Django или Flask для веб-разработки, Pandas и NumPy для работы с данными. "
Python Developer,https://spb.hh.ru/vacancy/102660978?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Бэклоги, доски и таски в Jira. Фреймворки: django, fastapi (с sqlalchemy и alembic). БД: Postgres, Clickhouse, Redis. Разрабатывать и поддерживать......они работают, и понимание нагрузки, которую они держат. :). Просто хоть что-нибудь :)) умение подключить к django шаблон Bootstrap - уже достаточно."
Инженер-разработчик Python,https://spb.hh.ru/vacancy/90077186?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Разработка сервисов и микросервисов на python / fastapi. Разработка автоматических тестов на свои сервисы. Разработка пайплайнов обработки данных. Интеграции c системами...Опыт разработки на python от 3х лет. Опыт работы с FastAPI, Flask или Django DRF. Понимание основ работы баз..."
Python Backend Developer,https://spb.hh.ru/vacancy/103282341?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Опыт работы в качестве Python developer от 3-ух лет. Знание фреймворков Django, FastApi или Flask. Знание Apache Airflow, Kafka..."
Backend Разработчик (Python),https://spb.hh.ru/vacancy/104340707?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Разработка и поддержка серверной части веб-приложений на Python. Участие в проектировании архитектуры приложений с использованием фреймворков. Работа с базами...Фреймворки и библиотеки: Опыт работы с фреймворками для backend разработки на Python, такими как Django, Flask или FastAPI. "
Python разработчик (в офис),https://spb.hh.ru/vacancy/102915768?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Автоматизация бизнес-процессов на Python, связанных со станциями технического обслуживания автомобилей. Разработка системы электронного документооборота и автоматизации процессов для клиентов...Языки программирования: Python, JS. Flask + SQLAlchemy (основной стек). Django (в процессе портирования на основной стек). Платформа: Docker, nginx, gunicorn..."
Middle Backend разработчик (Python + Golang),https://spb.hh.ru/vacancy/102263018?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Разработка новых сервисов компьютерного зрения с применением нейронных сетей. Интеграция продуктов компании с системами партнеров. Поддержка и развитие существующих web...Опыт проектирования REST API. Знание одного из фреймворков: Django, Flask, AIOHTTP, Sanic, FastAPI. Уверенная работа с PostgreSQL. Разработка и деплой..."
Middle Python developer,https://spb.hh.ru/vacancy/72687504?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Написание чистого, понятного кода. Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса.Опыт работы с веб-фреймворками (flask, fastapi, aiohttp), OpenAPI, сериализаторами (pydantic, marshmallow, etc.). Умение покрывать свой код автотестами (pytest) и..."
Разработчик Python,https://spb.hh.ru/vacancy/104131893?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Корпоративные сайты (топовые компании страны). Интерактивные стенды, мобильные приложения, AR/VR интерактивы, рекламные концепции для музеев. Геоинформационные сервисы. Высшее техническое образование. Подтверждённый опыт разработки на Python более 5 лет. Экспертное знание Python, опыт коммерческой разработки 5-7 лет. "
Middle Разработчик Python (Backend),https://spb.hh.ru/vacancy/103792323?query=python+django+flask&hhtmFrom=vacancy_search_list,,Не указан,Не указана,Не указана,"Разработка и поддержка бэкенд-компонентов модуля ""Честный Знак"". Оптимизация и улучшение производительности существующего кода. Работа в тандеме с другими разработчиками...Опыт разработки на Python не менее 3 лет, включая опыт работы с фреймворком(и) Flask, Django, FastAPI. Знание принципов ООП. "
