Numder,Content,Link
1,"Преподаватель программирования для детей
40 000 – 80 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
ENTER ZION
Краснодар
Обучать школьников программированию индивидуально и в группах до 4 человек. Работать по предоставляемым методическим материалам. Вести уроки в онлайн-формате...
Можете объяснить простыми словами сложные определения из учебника. Знаете язык программирования Python: базовое программирование, функциональное программирование, ООП, алгоритмы и типы...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104156173&hhtmFrom=vacancy_search_list
2,"Python разработчик
от 80 000 ₽ до вычета налогов
Опыт 1-3 года
ООО ПДВ
Ульяновск
Проектировать компоненты систем. Организовывать процесс разработки. Писать и ревьюить код.
Знаешь Python 3 и имеешь опыт промышленной разработки на Python. Имеешь опыт многопоточного и асинхронного программирования. Также имеешь опыт работы...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103507464&hhtmFrom=vacancy_search_list
3,"Python-разработчик
200 000 – 220 000 ₽ на руки
Опыт 1-3 года
Можно удалённо
ООО Ритейл-Процессинг
Москва
Доработки платежного сервиса и сервиса SmartKit. Управление облачной инфраструктурой платежного сервиса (Yandex.Cloud, k8s). Настройка мониторингов.
Хорошее знание Python, опыт промышленной разработки от 2 года. Опыт использования одного фреймворков - Django, Flask, FastAPI. Опыт асинхронной разработки, использования...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104276440&hhtmFrom=vacancy_search_list
4,"Python-разработчик
до 470 000 ₽ на руки
Опыт 3-6 лет
Точка
Москва
Есть возможность работать с kubernetes, consul, vault. Реже используем django и flask. Много асинхронного взаимодействия на rabbitmq, kafka и работы...
Есть опыт работы с Python 3, asyncio (async/await), веб-фреймоворками (aiohttp/fastAPI/flask/Django), ORM (peewee, SQLAlchemy, Django ORM).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103482417&hhtmFrom=vacancy_search_list
5,"Django Python Developer
Опыт 1-3 года
Можно удалённо
ООО Гринстер
Минск
Опыт работы с Django/Django REST. Глубокое понимание Django: разрешения, фильтры, Django ORM и т. д.. Понимание работы Celery, опыт...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104185794&hhtmFrom=vacancy_search_list
6,"Разработчик Python (Senior)
Опыт 3-6 лет
ООО А2 Код
Москва
Разрабатывать и поддерживать облачную платформу. Занĸомство с платформами виртуализации (OpenStack, Vmware Vsphere и т. п.).
...на Python от 3 лет. Знаете про параллельные вычисления и имеете опыт использования библиотеĸи asyncio. Работали с фреймворĸами Django/Flask.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103141917&hhtmFrom=vacancy_search_list
7,"Python Web-разработчик
150 000 – 200 000 ₽ на руки
Опыт 3-6 лет
ООО Селфсек
Москва•Трубная и еще 2 
Участие в проектировании архитектуры. Разработка CRM (back office). Разработка backend (front office). Разработка API. Адаптация верстки для backend.
Знание ООП и паттернов проектирования. Уверенное владение одним из фрейморков (Django, Flask, aiohttp, FastAPI). Опыт работы с РСУБД (MySQL/PostgreSQL...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=98444719&hhtmFrom=vacancy_search_list
8,"Руководитель отдела разработки (Lead Python Developer)
до 400 000 ₽ на руки
Опыт 3-6 лет
АО НИИ МАСШТАБ
Москва
Разработка ПО виртуализации, серверных систем и сервисных приложений (Back - python; Front - JS). Архитектурное проектирование совместно с командой. Подбор и развитие...
Опыт работы с одним или несколькими frameworks: django, flask, asyncio, etc. Опыт работы с реляционными базами данных, RabbitMQ, желательно с...
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=104101788&hhtmFrom=vacancy_search_list
9,"Python Developer
Опыт 1-3 года
ООО УайтСнейк
Минск
Коммерческий опыт с Python-фреймворками (Django / Flask). Знание Python Core и встроенной библиотеки. Опыт работы с асинхронным программированием (FastAPI / AsyncIO).
Откликнуться
Посмотреть контакты",https://spb.hh.ru/applicant/vacancy_response?vacancyId=103648144&hhtmFrom=vacancy_search_list
10,"Python Developer
Опыт 3-6 лет
Admire
Москва
Бэклоги, доски и таски в Jira. Фреймворки: django, fastapi (с sqlalchemy и alembic). БД: Postgres, Clickhouse, Redis. Разрабатывать и поддерживать...
...они работают, и понимание нагрузки, которую они держат. :). Просто хоть что-нибудь :)) умение подключить к django шаблон Bootstrap - уже достаточно.
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=102660978&hhtmFrom=vacancy_search_list
11,"Python-разработчик
200 000 – 250 000 ₽ на руки
Опыт 3-6 лет
Miles&Miles
Казань
Разработка асинхронной микросервисной архитектуры на FastAPI. Высокие требования к отказоустойчивости платформы. Внедрение newSQL решения для хранения и обработки BigData (TIDB).
Опыт использования очередей сообщений (RabbitMQ, Kafka). Опыт работы с Django, FastAPI, Flask, etc. Уверенное владение Git (опыт работы с gitlab).
Откликнуться",https://spb.hh.ru/applicant/vacancy_response?vacancyId=99532438&hhtmFrom=vacancy_search_list
